testIcalToCSV2
SUMMARY,DTSTART,DTEND,DURATION,NOTES
testEvent1,04/04/2021 12:15 AM,04/04/2021 07:00 AM,6.75,
testEvent2,04/04/2021 09:00 AM,04/04/2021 03:45 PM,6.75,
testEvent3,04/04/2021 05:00 PM,04/04/2021 06:30 PM,1.5,
testEvent4,04/04/2021 09:00 PM,04/04/2021 09:45 PM,0.75,
testEvent1,04/05/2021 12:15 AM,04/05/2021 07:00 AM,6.75,
testEvent2,04/05/2021 09:00 AM,04/05/2021 03:45 PM,6.75,
testEvent5,04/05/2021 07:00 PM,04/05/2021 08:30 PM,1.5,
testEvent1,04/06/2021 12:15 AM,04/06/2021 07:00 AM,6.75,
testEvent2,04/06/2021 09:00 AM,04/06/2021 03:45 PM,6.75,
testEvent5,04/06/2021 07:00 PM,04/06/2021 08:30 PM,1.5,
testEvent4,04/06/2021 09:00 PM,04/06/2021 09:45 PM,0.75,
testEvent1,04/07/2021 12:15 AM,04/07/2021 07:00 AM,6.75,
testEvent2,04/07/2021 09:00 AM,04/07/2021 03:45 PM,6.75,
testEvent5,04/07/2021 07:00 PM,04/07/2021 08:30 PM,1.5,
testEvent1,04/08/2021 12:15 AM,04/08/2021 07:00 AM,6.75,
testEvent2,04/08/2021 09:00 AM,04/08/2021 03:45 PM,6.75,
testEvent5,04/08/2021 07:00 PM,04/08/2021 08:30 PM,1.5,
testEvent4,04/08/2021 09:00 PM,04/08/2021 09:45 PM,0.75,
testEvent1,04/09/2021 12:15 AM,04/09/2021 07:00 AM,6.75,
testEvent2,04/09/2021 09:00 AM,04/09/2021 03:45 PM,6.75,
testEvent5,04/09/2021 07:00 PM,04/09/2021 08:30 PM,1.5,
testEvent1,04/10/2021 12:15 AM,04/10/2021 07:00 AM,6.75,
testEvent2,04/10/2021 09:00 AM,04/10/2021 03:45 PM,6.75,
testEvent4,04/10/2021 09:00 PM,04/10/2021 09:45 PM,0.75,
testEvent1,04/11/2021 12:15 AM,04/11/2021 07:00 AM,6.75,
testEvent2,04/11/2021 09:00 AM,04/11/2021 03:45 PM,6.75,
testEvent3,04/11/2021 05:00 PM,04/11/2021 06:30 PM,1.5,
testEvent4,04/11/2021 09:00 PM,04/11/2021 09:45 PM,0.75,
testEvent1,04/12/2021 12:15 AM,04/12/2021 07:00 AM,6.75,
testEvent2,04/12/2021 09:00 AM,04/12/2021 03:45 PM,6.75,
testEvent5,04/12/2021 07:00 PM,04/12/2021 08:30 PM,1.5,
testEvent1,04/13/2021 12:15 AM,04/13/2021 07:00 AM,6.75,
testEvent2,04/13/2021 09:00 AM,04/13/2021 03:45 PM,6.75,
testEvent5,04/13/2021 07:00 PM,04/13/2021 08:30 PM,1.5,
testEvent4,04/13/2021 09:00 PM,04/13/2021 09:45 PM,0.75,
testEvent1,04/14/2021 12:15 AM,04/14/2021 07:00 AM,6.75,
testEvent2,04/14/2021 09:00 AM,04/14/2021 03:45 PM,6.75,
testEvent5,04/14/2021 07:00 PM,04/14/2021 08:30 PM,1.5,
testEvent1,04/15/2021 12:15 AM,04/15/2021 07:00 AM,6.75,
testEvent2,04/15/2021 09:00 AM,04/15/2021 03:45 PM,6.75,
testEvent5,04/15/2021 07:00 PM,04/15/2021 08:30 PM,1.5,
testEvent4,04/15/2021 09:00 PM,04/15/2021 09:45 PM,0.75,
testEvent1,04/16/2021 12:15 AM,04/16/2021 07:00 AM,6.75,
testEvent2,04/16/2021 09:00 AM,04/16/2021 03:45 PM,6.75,
testEvent5,04/16/2021 07:00 PM,04/16/2021 08:30 PM,1.5,
testEvent1,04/17/2021 12:15 AM,04/17/2021 07:00 AM,6.75,
testEvent2,04/17/2021 09:00 AM,04/17/2021 03:45 PM,6.75,
testEvent4,04/17/2021 09:00 PM,04/17/2021 09:45 PM,0.75,
testEvent1,04/18/2021 12:15 AM,04/18/2021 07:00 AM,6.75,
testEvent3,04/18/2021 05:00 PM,04/18/2021 06:30 PM,1.5,
testEvent4,04/18/2021 09:00 PM,04/18/2021 09:45 PM,0.75,
testEvent1,04/19/2021 12:15 AM,04/19/2021 07:00 AM,6.75,
testEvent5,04/19/2021 07:00 PM,04/19/2021 08:30 PM,1.5,
testEvent5,04/20/2021 07:00 PM,04/20/2021 08:30 PM,1.5,
testEvent4,04/20/2021 09:00 PM,04/20/2021 09:45 PM,0.75,
testEvent5,04/21/2021 07:00 PM,04/21/2021 08:30 PM,1.5,
